id	generation	major_rev	owned_by_id	name	item_number	classification	description
ACC1D756F6744B10AFEF4779C62159D0	1	B	DBA5D86402BF43D5976854B8B48FCDD1	MK7 Thermal Core	MP1705	Component	
AD8B718C0CE54CFBA3F9E572706744FD	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Drive Block	P9082		
AE2B508EBB3A4077A63A3A10140157FF	3	B	DBA5D86402BF43D5976854B8B48FCDD1	MK7 Drive Gear	MP1994	Component	
AF735633B73945F2B865A54B24C8DD0D	1	A	DBA5D86402BF43D5976854B8B48FCDD1	MK7 Filament Drive Block Back	MP1713	Component	MP1703 in Detroit Location
B037E694D6F54471873E854DB94C278D	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Spacer Black 3-4 in length .14in ID .25in OD	MP2662	Component	
B145C2A394C347919EDC027C4FF88F67	2	B	DBA5D86402BF43D5976854B8B48FCDD1	LCD Backlight white	MP3729	Component	LCD Backlight white
B226F068029F47AA81CEC1EE6503B571	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Dowel Pin 5 32 inch OD, 1 inch length metal	MP2345	Component	
B31044B68D444D1BB42DB5EF01B83350	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Connector 4 pin	MP3400	Component	4-pin w/polarity
B3E76534EA5D4F96AE718C08278930C0	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Heat Sink Assembly	P4523		
B45D963DC92D418F93889CBE3538DE25	4	C	DBA5D86402BF43D5976854B8B48FCDD1	Replicator Interfaceboard	MP2738	Assembly	
B5FBA733945B4C2796DCC59A253897A5	1	B	DBA5D86402BF43D5976854B8B48FCDD1	424 Tooth GT3 Timing Belt	MP2755	Component	
5B7718FB0D664AE085F02A5955ABB84D	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Filament Heavy Duty Spool Holder	MP2361	Component	
B6DC50A1D493430591C39ECEFDB8D7FA	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Filament Spool Holder	MP2935	Component	
B7EA821806164558BDC66334C835C51F	4	A	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic 2 Left Panel	MP2198	Component	
B7FDD251BCAD40F29325E48C7F99D385	1	A	DBA5D86402BF43D5976854B8B48FCDD1	SD Card adapter	MP3173	Component	SD Card Slot, Push In / Push Out, Reverse
B967B5AAEF344577BE9A65A52E5C3CE9	1	C	DBA5D86402BF43D5976854B8B48FCDD1	Endstop Cable 1m	MP2603	Component	
BA879C760A024B2D82E9BC0F5C5C6DA7	1	A	DBA5D86402BF43D5976854B8B48FCDD1	USB A port	MP3830	Component	Single, vertical, upright, through holes
BAD8BAD29FED4C1A83FC83A1253871CD	4	D	DBA5D86402BF43D5976854B8B48FCDD1	Linear Bearing 8mm ID 15mm OD 17mm length	MP2441	Component	
BB375BA8D1F047B5BD7822FE08679A31	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Nylon Hex Nut	MP2828	Component	
BCADF54BA8D246DB89D1D46979409210	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Printer Assembly	P5423		
BD1327F5BFB34F43ADBCAD996E4494B1	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Linear Bearing 8mm ID 15mm OD 17mm length ceramic	MP2445	Component	
BD7B0236D257449EA231F1E09E763D93	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Microcontroller	MP3840	Component	8-bit Microcontroller with 8/16/32K Bytes of ISP Flash and USB Controller
BE3E46EFDCC9401582B728D477930A33	1	D	DBA5D86402BF43D5976854B8B48FCDD1	Cartridge Heater 40W 24V Right Angle Exit	MP2607	Component	
BE6FF3B5CA204384A1FDA14F4A6AD07E	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Potentiometer	MP3002	Component	7-Bit Single I2C™ Digital POT with Volatile Memory in SC70
BE86A830E127448D9475F0B97B727284	1	A	DBA5D86402BF43D5976854B8B48FCDD1	NOR gate	MP3746	Component	NC7WZ02 TinyLogic® UHS Dual 2-Input NOR Gate
BF77C9D47C334C31AB4358BEE5E1D5EE	1	B	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic 2 Extended Rod Cover	MP2367	Component	
C0F8E890509342469358F11DA2BAD8DC	1	B	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic 2 Build Platform Front Cover replicator	MP2468	Component	
C217BBFEEF414B0C9AD19164A872DEB6	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Thermocouple-to-Digital	MP3291	Component	Cold-Junction-Compensated K-Thermocouple-to-Digital Converter (0°C to +1024°C)
C2D5BC4B7C7A4E609E3357AB11222601	1	B	DBA5D86402BF43D5976854B8B48FCDD1	Kapton Tape 120mm	MP1782	Component	
C505C3BB83EC46F383C1E5CFA67AACD2	2	A	DBA5D86402BF43D5976854B8B48FCDD1	MakerBot Replicator with Cover	MP0103	Assembly	The MakerBot Replicator by MakerBot. Published on March 12, 2012. www.thingiverse.com/thing:18813
C642BFF9C8E646B9ADDC52AEDEA3C9E6	1	C	DBA5D86402BF43D5976854B8B48FCDD1	424 Tooth GT2 Timing Belt	MP2752	Component	
